Country Name,2014 [YR2014]
Afghanistan,14.4
Albania,21.2
Algeria,12.4
Angola,130.1
Antigua and Barbuda,10
Argentina,23.2
Armenia,1.1
Australia,0.7
Austria,4.8
Azerbaijan,1
"Bahamas, The",10.4
Bahrain,1
Bangladesh,18.9
Barbados,7.2
Beijing,1.9
Belarus,0.9
Belgium,5.3
Belize,35.4
Benin,122.7
Bhutan,4.8
Bolivia,67.6
Bosnia and Herzegovina,25.6
Botswana,0.9
Brazil,5.9
Brunei Darussalam,10
Bulgaria,1.8
Burkina Faso,44.5
Burundi,17.5
Cabo Verde,13.5
Cambodia,129.8
Cameroon,36.2
Canada,0.4
Central African Republic,144.7
Chad,186.3
Chile,5.9
China,1.9
Colombia,7.5
Comoros,90.3
"Congo, Dem. Rep.",200.1
"Congo, Rep.",52.1
Costa Rica,11.9
Côte d'Ivoire,44.4
Croatia,9.1
Cyprus,12.6
Czech Republic,7
Denmark,0.2
Djibouti,214.2
Dominica,16.6
Dominican Republic,17.3
Ecuador,25.3
"Egypt, Arab Rep.",26.9
El Salvador,45.4
Equatorial Guinea,98.6
Eritrea,50.5
Estonia,1.5
Eswatini,27.7
Ethiopia,105
Fiji,23.1
Finland,0.9
France,0.9
Gabon,12.5
"Gambia, The",174.3
Georgia,3.8
Germany,4.8
Ghana,23.3
Greece,12.1
Grenada,19.7
Guatemala,46.4
Guinea,83
Guinea-Bissau,93.1
Guyana,12.4
Haiti,264.8
Honduras,44.4
"Hong Kong, China",0.8
Hungary,8.8
Iceland,2.7
India,41.5
Indonesia,22
"Iran, Islamic Rep.",3.3
Iraq,36.7
Ireland,0.3
Israel,4.1
Italy,14.7
Jamaica,6.4
Japan,7.5
Jordan,20.5
Kazakhstan,0.6
Kenya,44.5
Kiribati,47.1
"Korea, Rep.",14.6
Kosovo,22.1
Kuwait,1.2
Kyrgyz Republic,2.7
Lao PDR,12.4
Latvia,1.9
Lebanon,35.1
Lesotho,11.4
Liberia,19.1
Libya,19.1
Liechtenstein,..
Lithuania,0.9
Luxembourg,1.9
Madagascar,47
Malawi,120.1
Malaysia,7.6
Maldives,6.2
Mali,76.7
Malta,15.3
Marshall Islands,12.4
Mauritania,46.1
Mauritius,3.6
Mexico,18.6
"Micronesia, Fed. Sts.",141
Moldova,5.4
Mongolia,1.5
Montenegro,1.7
Morocco,9.5
Mozambique,50.2
Myanmar,148.6
Namibia,14.7
Nepal,34.6
Netherlands,5.2
New Zealand,0.3
Nicaragua,77
Niger,80.1
Nigeria,58.7
North Macedonia,1.8
Norway,1.6
Oman,2.5
Pakistan,16.3
Palau,3.8
Panama,7.6
Papua New Guinea,19.9
Paraguay,60.1
Peru,14.4
Philippines,24.7
Poland,13.1
Portugal,2.4
Puerto Rico,1.4
Qatar,5.1
Romania,2.5
Russian Federation,1.5
Rwanda,30.8
Samoa,9.6
San Marino,8.7
São Tomé and Principe,19.4
Saudi Arabia,6.9
Senegal,64.3
Serbia,7.2
Seychelles,16
Sierra Leone,44.1
Singapore,0.6
Slovak Republic,1.5
Slovenia,0
Solomon Islands,47.5
Somalia,..
South Africa,0.3
South Sudan,372.1
Spain,5
Sri Lanka,26.1
St. Kitts and Nevis,8.7
St. Lucia,18.6
St. Vincent and the Grenadines,17.2
Sudan,28.1
Suriname,101.7
Sweden,0.6
Switzerland,2.3
Syrian Arab Republic,12.5
"Taiwan, China",2.3
Tajikistan,25.6
Tanzania,75.2
Thailand,6.7
Timor-Leste,2.9
Togo,121.4
Tonga,7.4
Trinidad and Tobago,0.8
Tunisia,4.7
Turkey,19.3
Uganda,78.3
Ukraine,1.9
United Arab Emirates,11.4
United Kingdom,0.3
United States,1.2
Uruguay,23.5
Uzbekistan,3.5
Vanuatu,46.2
"Venezuela, RB",35.6
Vietnam,7.7
West Bank and Gaza,86.5
"Yemen, Rep.",66.1
Zambia,32.6
Zimbabwe,128.9
,
,
,
,
,
