Country/Territory,Rank_2014
Aruba,81.73
Andorra,90.38
Afghanistan,4.33
Angola,11.54
Anguilla,60.10
Albania,43.75
Netherlands Antilles (former),#N/A
United Arab Emirates,74.52
Argentina,19.71
Armenia,38.46
American Samoa,87.98
Antigua and Barbuda,49.52
Australia,96.15
Austria,96.63
Azerbaijan,28.37
Burundi,14.90
Belgium,88.94
Benin,36.06
Burkina Faso,33.65
Bangladesh,24.04
Bulgaria,54.33
Bahrain,66.83
"Bahamas, The",75.48
Bosnia and Herzegovina,51.92
Belarus,21.15
Belize,21.63
Bermuda,60.10
Bolivia,12.02
Brazil,57.69
Barbados,83.17
Brunei Darussalam,68.75
Bhutan,67.31
South Sudan,0.96
Botswana,71.63
Central African Republic,1.44
Canada,95.19
Switzerland,98.08
Chile,86.54
China,40.38
Côte d'Ivoire,33.17
Cameroon,18.27
"Congo, Rep.",10.58
Cook Islands,#N/A
Colombia,45.67
Comoros,17.79
Cape Verde,75.00
Costa Rica,72.60
Cuba,29.81
Cayman Islands,73.08
Cyprus,82.69
Czech Republic,84.62
Germany,93.75
Djibouti,18.75
Dominica,72.12
Denmark,99.52
Dominican Republic,41.35
Algeria,22.60
Ecuador,14.42
"Egypt, Arab Rep.",27.88
Eritrea,2.40
Spain,80.29
Estonia,87.02
Ethiopia,37.50
Finland,100.00
Fiji,35.10
France,88.46
"Micronesia, Fed. Sts.",46.63
Gabon,36.54
United Kingdom,94.71
Georgia,63.94
Ghana,61.06
Guinea,5.29
"Gambia, The",28.85
Guinea-Bissau,6.73
Equatorial Guinea,7.21
Greece,66.35
Grenada,50.96
Greenland,91.83
Guatemala,15.38
French Guiana,82.21
Guam,87.98
Guyana,31.73
"Hong Kong SAR, China",94.23
Honduras,16.35
Croatia,63.46
Haiti,8.65
Hungary,70.67
Indonesia,44.71
India,55.77
Ireland,92.79
"Iran, Islamic Rep.",12.98
Iraq,3.37
Iceland,90.87
Israel,83.65
Italy,67.79
Jamaica,47.12
Jordan,68.27
Japan,89.42
Kazakhstan,32.21
Kenya,38.94
Kyrgyz Republic,16.83
Cambodia,15.87
Kiribati,53.37
St. Kitts and Nevis,29.33
"Korea, Rep.",81.25
Kuwait,60.58
Lao PDR,25.48
Lebanon,26.92
Liberia,23.08
Libya,4.81
St. Lucia,74.04
Liechtenstein,92.31
Sri Lanka,50.48
Lesotho,48.56
Lithuania,78.85
Luxembourg,95.67
Latvia,77.88
Kosovo,37.98
"Macao SAR, China",79.81
Morocco,52.40
Monaco,#N/A
Moldova,46.15
Madagascar,26.44
Maldives,34.62
Mexico,39.42
Marshall Islands,49.04
North Macedonia,57.21
Mali,31.25
Malta,86.06
Myanmar,8.17
Mongolia,43.27
Montenegro,58.17
Mozambique,22.12
Mauritania,19.23
Martinique,60.10
Mauritius,79.33
Malawi,45.19
Malaysia,71.15
Namibia,62.98
Niger,30.29
Nigeria,12.50
Nicaragua,27.40
Niue,#N/A
Netherlands,97.12
Norway,99.04
Nepal,30.77
Nauru,13.94
New Zealand,98.56
Oman,69.71
Pakistan,25.96
Panama,56.73
Palau,65.87
Peru,34.13
Philippines,42.31
Papua New Guinea,24.52
Poland,78.37
Puerto Rico,76.44
"Korea, Dem. Rep.",1.92
Portugal,84.13
Paraguay,32.69
Qatar,77.40
Réunion,85.10
Romania,64.90
Russian Federation,25.00
Rwanda,61.54
Samoa,76.92
Saudi Arabia,62.02
Sudan,9.13
Senegal,55.29
Singapore,93.27
Solomon Islands,35.58
Sierra Leone,17.31
El Salvador,37.02
San Marino,#N/A
Somalia,0.00
São Tomé and Principe,23.56
Suriname,51.44
Slovak Republic,69.23
Slovenia,80.77
Sweden,97.60
Eswatini,44.23
Seychelles,65.38
Syrian Arab Republic,5.77
Chad,9.62
Togo,20.19
Thailand,48.08
Tajikistan,13.46
Turkmenistan,6.25
Timor-Leste,11.06
Tonga,50.00
Trinidad and Tobago,52.88
Tunisia,56.25
Türkiye,54.81
Tuvalu,70.19
"Taiwan, China",85.58
Tanzania,39.90
Uganda,40.87
Ukraine,20.67
Uruguay,75.96
United States,89.90
Uzbekistan,10.10
St. Vincent and the Grenadines,73.56
"Venezuela, RB",0.48
Virgin Islands (U.S.),60.10
Vietnam,42.79
Vanuatu,64.42
West Bank and Gaza,41.83
"Jersey, Channel Islands",91.83
"Yemen, Rep.",7.69
Serbia,53.85
South Africa,62.50
"Congo, Dem. Rep.",2.88
Zambia,47.60
Zimbabwe,3.85
